OBJECTID,GRIDCODE,Severity,Acres,SHAPE_Length,SHAPE_Area
11,0,Unmapped,9.8528263867e-05,3.73294780139328,-0.398727540417637
12,0,Unmapped,0.0661356748751,104.258198218453,-267.641494221081
13,0,Unmapped,0.808072233048,1792.62329941294,-3270.15287414721
14,0,Unmapped,7.32138371279,1306.38873038299,-29628.5924326767
15,0,Unmapped,2.65402259422,3328.14224491605,-10740.458065176
16,0,Unmapped,0.0723828663191,122.836007069918,-292.923413731266
17,0,Unmapped,5.17990260659,1759.26552376558,-20962.3233193509
18,0,Unmapped,0.00527473421246,30.2157889262676,-21.346187483529
19,0,Unmapped,0.0113614419484,57.8546880972879,-45.9787391646535
20,0,Unmapped,0.00138929447712,11.602243932702,-5.62231998015904
21,0,Unmapped,0.364103696577,890.028281091306,-1473.4755074275
22,0,Unmapped,0.38388059944,756.214297888725,-1553.51006027762
23,0,Unmapped,0.00653164414116,27.5909074642895,-26.4327276268754
24,0,Unmapped,0.464617243929,1197.75734092486,-1880.23917475886
25,0,Unmapped,0.241239379301,253.835169192617,-976.263902717997
26,0,Unmapped,0.0180461362885,59.3388955516746,-73.0300622554402
27,0,Unmapped,0.16765227729,129.614222720269,-678.464125872181
28,0,Unmapped,0.00686948256854,21.2804546765038,-27.7998096404782
29,0,Unmapped,0.184665011395,109.765790521861,-747.312787323703
30,0,Unmapped,0.000272389702486,5.92405961801819,-1.10231938978241
31,0,Unmapped,9.17926037318,1056.31373189911,-37147.1859900039
32,0,Unmapped,4.09344975657,627.419346366167,-16565.610702861
33,0,Unmapped,8.06614768956,2918.96039434757,-32642.5608776056
34,1,Unburned,244.36141652,97855.9332007818,-988896.014369681
35,2,Low,12631.7836921,654129.78811905,51119037.6277248
36,3,Moderate,2480.21311653,492957.619149788,10037070.5256242
37,4,High,154.083745394,65771.7915773562,-623555.057521882
38,2,Low,0.73695994756,209.404822034123,-2982.37109688195
39,2,Low,4.20660432656,537.959321313697,-17023.5336353458
40,2,Low,0.80184880663,290.894655913259,-3244.96734132947
41,2,Low,1.29833073622,293.798897474814,-5254.15798773377
42,2,Low,0.971467889682,265.291391593621,-3931.39751219734
43,2,Low,0.735069408027,240.308830398398,-2974.72103466463
44,3,Moderate,0.0288112466449,54.2958230277892,-116.594437517149
45,2,Low,0.736744289964,313.867237032666,-2981.49830236657
46,2,Low,2.10203215887,484.634925002491,-8506.62838455774
47,2,Low,3.49472214378,574.687502549458,-14142.6404666868
48,2,Low,4.572017836,822.139429231443,-18502.2994251817
49,2,Low,1.33209575883,460.733891659087,-5390.80020913626
50,2,Low,0.0544106137779,64.3199186257697,-220.191941851173
51,2,Low,0.00334746294776,15.4555265184979,-13.5467019303228
52,2,Low,0.00877927378027,24.8117024391954,-35.5284604825146
53,2,Low,0.0145423167315,34.8262811813915,-58.8506678790086
54,2,Low,1.46964431499,503.695089659206,-5947.4427596551
55,2,Low,4.70856662082,602.567758320802,-19054.8943099812
56,1,Unburned,2.44634225209,1320,-9900
57,2,Low,501.657739891,18231.1548827852,2030137.66898044
58,3,Moderate,22.4732048796,10542.5622003855,-90945.8742072903
59,4,High,0.222394750186,120,-900
60,1,Unburned,0.228830759224,147.427107416963,-926.045565844549
61,2,Low,88.5046567848,7484.97099988414,358165.784009264
62,3,Moderate,12.127310674,4326.7300094348,-49077.5098712704
63,1,Unburned,4.4639753704,2202.2863656368,-18065.078265227
64,2,Low,443.925809175,30603.2974263323,1796504.76858527
65,3,Moderate,48.2290729246,16610.8156682496,-195176.220016317
66,2,Low,8.39467354388,1015.39847587727,-33972.0638401443
67,3,Moderate,0.123381158755,141.591795578175,-499.304203579543
68,1,Unburned,0.443771264622,302.0231468058,-1795.88034078006
69,2,Low,43.9462926654,3188.16778588094,-177844.42099676
70,3,Moderate,0.472952772628,228.662376165688,-1913.97291470408
71,2,Low,1.02369109115,290.507757973401,-4142.73608332457
72,2,Low,0.00590670102025,25.5813465727124,-23.90357096752
73,2,Low,0.343126137037,187.986238088067,-1388.58106244585
74,2,Low,0.00613533691634,23.7663574285399,-24.8288276099848
75,2,Low,2.68620815296,451.028878430258,-10870.6984717845
76,2,Low,0.00784941925645,22.4262935798655,-31.7654727293122
77,1,Unburned,0.931184196639,544.162502500509,-3768.36980382627
78,2,Low,157.562768264,10977.2956410275,637634.185213258
79,3,Moderate,19.4800031234,5046.50356179096,-78832.8094783243
80,4,High,1.11197375084,540,-4500
81,1,Unburned,0.298964318242,204.515862767316,-1209.86604898913
82,2,Low,54.8197732732,3333.03526188338,221847.848805687
83,3,Moderate,1.77915800188,540,-7200
84,2,Low,0.469398507741,220.169508017723,-1899.58775529283
85,1,Unburned,15.936780966,7046.83396767592,-64493.8876465821
86,2,Low,624.440245096,41245.1822458227,2527020.88578394
87,3,Moderate,112.259046151,22618.222037466,454296.421508647
88,4,High,2.4463422515,1200,-9900
89,2,Low,0.000961872367884,19.2687876878219,-3.89255936460007
